class1,class2,class3,class4,class5,class6,major
SML 201,ANT 311,ENT 200,ANT 438,NA,NA,Anthropology
SML 201,ECO 342,ECO 416,SPI 466,SPA 107,NA,Economics
SML 201,SPI 368,CLA 218,SPI 362,NA,NA,Politics
SML 201,ORF 409,ORF 363,ORF 498,NA,NA,Operations Research and Financial Engineering
SML 201,CHM 411,ANT 311,STC 349,NA,NA,Chemistry
SML 201,ANT 300,ANT 311,GSS 201,NA,NA,Anthropology
SML 201,GSS 201,ENG 291,SOC 392,NA,NA,Sociology
SML 201,ARA 105,NEU 400,SAS 210,REL 365,NA,Neuroscience
SML 201,NEU 430,MOL 345,NA,NA,NA,Neuroscience
SML 201,ORF 405,EEB 330,POL 345,QCB 455,NA,Computer Science
SML 201,NEU 314,LAS 328,PSY 254,NA,NA,Neuroscience
SML 201,EEB 211,MOL 345,NEU 314,SPA 107,NA,Neuroscience
SML 201,GEO 203,GEO 421,AST 303,NA,NA,Astrophysical Sciences
SML 201,ORF 405,ORF 363,COS 497,NA,NA,Computer Science
SML 201,CHM 411,EEB 211,NA,NA,NA,Chemistry
SML 201,EGR 151,VIS 416,COM 353,NA,NA,Molecular Biology
SML 201,COS 316,EGR 201,MAE 345,SPI 340,NA,Computer Science
SML 201,PHY 101,PSY 254,NEU 477,NA,NA,Neuroscience
SML 201,ARC 308,REL 314,JRN 260,NA,NA,Religion
SML 201,SPI 365,SLA 313,REL 324,NA,NA,Molecular Biology
SML 201,ECO 102,MAE 345,ECE 396,NA,NA,Computer Science
SML 201,PHY 112,QCB 455,CLA 234,PSY 254,NA,Computer Science
SML 201,COS 326,FRE 317,COS 316,POL 362,NA,Computer Science
SML 201,EAS 372,NEU 200,NEU 314,NA,NA,Neuroscience
SML 201,EEB 309,MOL 345,CWR 201,CLA 223,NA,Ecology and Evolutionary Biology
SML 201,COS 333,POL 410,POL 345,ORF 309,COS JRW,Computer Science
SML 201,COS 316,QCB 455,MAT 202,MOL 345,NA,Computer Science
SML 201,MOL 345,MOL 350,GHP 350,NA,NA,Molecular Biology
SML 201,ECO 301,ECO 494,EAS 372,CHI 303,NA,Economics
SML 201,MAT 104,NEU 477,PSY 300,PSY 316,NA,Psychology
SML 201,MOL 345,POL 300,PHY 101,NA,NA,Politics
SML 201,HIS 400,CLA 218,AMS 271,ENG 275,NA,History
SML 201,COS 397,COS 333,COS 350,CLA 218,NA,Computer Science
SML 201,ECO 312,ECO 316,SPI 466,NA,NA,Economics
SML 201,MOL 345,MOL 350,PHY 101,NA,NA,Molecular Biology
SML 201,RUS 105,CBE 341,CBE 250,SLA 313,NA,Chemical and Biological Engineering
SML 201,MOL 350,MOL 345,PSY 400,NA,NA,Molecular Biology
SML 201,POL 349,HIS 322,SPI 302,POL 300,NA,Politics
SML 201,MOL 345,MOL 350,REL 271,NA,NA,Molecular Biology
SML 201,COS 375,ECE 470,SPI 365,COS 981,NA,Computer Science
SML 201,MOL 350,COS 324,MOL 345,ECO 100,PHY 103,Molecular Biology
SML 201,MOL 345,PSY 254,KOR 101,MOL 350,NA,Molecular Biology
SML 201,COS 324,ECE 470,NA,NA,NA,Computer Science
SML 201,COS 324,MOL 345,MOL 350,PHI 200,NA,Molecular Biology
SML 201,MOL 350,MOL 345,RUS 405,ECO 101,NA,Molecular Biology
SML 201,MOL 345,NEU 430,PHY 101,ART 212,NA,Neuroscience
SML 201,SML 354,ORF 418,EGR 200,EGR 395,NA,Operations Research and Financial Engineering
SML 201,COS 333,COS 324,STC 204,NA,NA,Computer Science
SML 201,NEU 314,MOL 345,NEU 200,NEU 385,NA,Neuroscience
SML 201,NEU 430,NEU 314,GHP 350,MOL 345,NA,Neuroscience
SML 201,ECO 300,ORF 418,ORF 405,ANT 201,NA,Operations Research and Financial Engineering
SML 201,ECO 100,MAT 175,ANT 201,NA,NA,Economics
SML 201,COS 333,COS 316,VIS 215,NA,NA,Computer Science
SML 201,MOL 345,MOL 350,ART 212,ART 220,NA,Molecular Biology
SML 201,COS 350,COS 397,ECO 362,NA,NA,Computer Science
SML 201,COS 316,COS 302,COS 397,NA,NA,Computer Science
SML 201,CLA 218,MOL 345,MOL 350,NA,NA,Molecular Biology
SML 201,NEU 430,NEU 314,PSY 254,MPP 213,NA,Neuroscience
SML 201,COS 316,COS 397,NA,NA,NA,Computer Science
SML 201,CHM 301,PHY 101,VIS 203,NA,NA,Chemistry
SML 201,EAS 350,EEB 211,EEB 330,MOL 345,NA,Civil and Environmental Engineering
SML 201,AAS 244,AAS 239,NEU 314,NA,NA,Neuroscience
SML 201,NEU 477,NEU 201,EAS 372,NA,NA,Neuroscience
SML 201,SML 354,SPI 298,SPI 299,NA,NA,Princeton School of Public and International Affairs
SML 201,COS 217,COS 240,ECO 202,PSY 254,NA,Computer Science
SML 201,CHM 301,SPA 205,ANT 261,NA,NA,Molecular Biology
SML 201,CHM 301,HIS 271,NEU 200,PSY 230,NA,Psychology
SML 201,JRN 449,CWR 201,URB 385,SPA 107,NA,Princeton School of Public and International Affairs
SML 201,MOL 214,MAT 201,COS 217,PSY 254,NA,Computer Science
SML 201,COS 217,COS 240,MAE 305,EAS 350,NA,Computer Science
SML 201,COS 217,EAS 345,PHI 200,JPN 105,NA,Computer Science
SML 201,REL 264,CHM 337,VIS 213,NA,NA,Molecular Biology
SML 201,HIS 322,JPN 105,SPI 298,NA,NA,Princeton School of Public and International Affairs
SML 201,EEB 211,CHM 301,AAS 239,NA,NA,Molecular Biology
SML 201,COS 226,MAT 202,ORF 245,AMS 101,NA,Computer Science
SML 201,CHM 301,ART 212,ANT 201,EEB 211,MOL 280,Molecular Biology
SML 201,ORF 245,COS 217,MOL 214,NA,NA,Computer Science
SML 201,MAT 201,COS 217,MOL 214,COS 324,NA,Computer Science
SML 201,SPI 298,PSY 101,SPA 107,CRW 203,NA,Princeton School of Public and International Affairs
SML 201,CHM 301,PSY 254,EEB 211,NA,NA,Molecular Biology
SML 201,CHM 301,SPA 205,EEB 211,MOL 280,NA,Molecular Biology
SML 201,PSY 254,AAS 239,ANT 252,ART 200,NA,Psychology
SML 201,CHM 301,ENG 275,MOL 214,NA,NA,Neuroscience
SML 201,CHM 301,SPI 368,EEB 211,ENG 345,NA,Molecular Biology
SML 201,SPI 365,STC 220,ECE 206,ENG 275,NA,Electrical and Computer Engineering
SML 201,EEB 211,KOR 301,CHM 301,NA,NA,Ecology and Evolutionary Biology
SML 201,MAT 201,COS 226,ORF 245,NA,NA,Computer Science
SML 201,MOL 345,CLA 218,PHY 101,NA,NA,Neuroscience
SML 201,COS 226,SPA 107,CEE 102B,EGR 201,NA,Computer Science
SML 201,CWR 203,SOC 392,URB 385,EGR 201,NA,Sociology
SML 201,EEB 211,CHM 301,ANT 201,POL 220,NA,Molecular Biology
SML 201,HIS 214,EEB 211,CHM 301,NA,NA,Molecular Biology
SML 201,LAT 331,REL 314,CLA 218,PHY 209,NA,Classics
SML 201,PHY 207,MAE 305,FRE 107,LIN 260,NA,Physics
SML 201,PSY 309,KOR 301,NEU 200,PSY 250,NA,Psychology
SML 201,SPI 365,NEU 200,ECO 362,HIS 343,NA,History
SML 201,EGR 156,COS 126,ANT 201,CHM 201,NA,Computer Science
SML 201,COS 217,ECO 101,MPP 231,NA,NA,Economics
SML 201,EEB 211,CWR 201,KOR 101,CHM 301,NA,Molecular Biology
SML 201,EEB 211,CHM 301,ANT 201,ENG 309,VIS 221,Anthropology
SML 201,COS 217,COS 240,CHM 201,PSY 254,NA,Computer Science
SML 201,MOL 345,COS 126,PSY 254,MOL 280,NA,Molecular Biology
SML 201,CHM 301,EEB 327,CLG 105,ANT 201,NA,Classics
SML 201,CHM 201,PHY 103,VIS 331,NA,NA,Molecular Biology
SML 201,COS 217,SOC 101,PHY 209,CWR 203,NA,Computer Science
SML 201,CHM 301,SPA 108,CEE 102A,NA,NA,Molecular Biology
SML 201,SPI 298,HIS 383,SPA 233,NA,NA,Princeton School of Public and International Affairs
SML 201,COS 217,ECO 310,COM 351,HLS 222,NA,Computer Science
SML 201,EGR 156,ECO 342,ECO 362,COS 217,COS 316,Computer Science
SML 201,CHM 301,PSY 254,ENV 208,NA,NA,Molecular Biology
SML 201,LIN 302,COS 217,EGR 156,PSY 254,NA,Computer Science
SML 201,COS 126,ECO 100,ORF 245,ORF 309,NA,Operations Research and Financial Engineering
SML 201,MAT 202,COS 126,PSY 254,WRI 230,MPP 213,Computer Science
SML 201,CHM 301,ANT 333,COM 351,EEB 327,NA,Molecular Biology
SML 201,CHM 301,HIS 271,ENG 345,MOL 280,NA,Molecular Biology
SML 201,PHY 112,EGR 395,ECO 202,ECO 101,NA,Economics
SML 201,COS 324,COS 240,PHY 209,LIN 201,NA,Computer Science
SML 201,LCA 101,PHY 112,ECO 312,ECO 310,NA,Economics
SML 201,ENG 218,CHM 301,PSY 254,GSS 201,NA,Molecular Biology
SML 201,COS 217,EGR 156,EAS 345,ENG 345,NA,Computer Science
SML 201,COS 217,PHI 200,SML 354,VIS 221,NA,Computer Science
SML 201,EEB 211,FRE 101,ENV 251,ENV 271,NA,Ecology and Evolutionary Biology
SML 201,MAT 175,ENG 345,JPN 105,PSY 101,NA,Princeton School of Public and International Affairs
SML 201,AMS 322,CHM 301,NEU 200,POL 230,NA,Psychology
SML 201,CHM 301,MOL 214,POL 220,SPA 107,NA,Molecular Biology
SML 201,CHM 301,FRE 211,PSY 254,NA,NA,Neuroscience
SML 201,CHI 303,ECO 310,STC 220,COS 217,NA,Computer Science
SML 201,PSY 321,PSY 304,SPI 365,PSY 230,NA,Psychology
SML 201,CHM 301,PSY 254,EEB 211,NA,NA,Molecular Biology
SML 201,ORF 309,COS 324,ENE 449,NA,NA,Electrical and Computer Engineering
SML 201,MOL 415,COS 226,COS 240,PSY 254,NA,Computer Science
SML 201,MAT 201,PHY 103,MUS 105,COS 126,NA,Electrical and Computer Engineering
SML 201,SOC 314,SOC 405,ECO 101,NA,NA,Princeton School of Public and International Affairs
