graph1,graph2,graph3,graph4,graph5,graph6,graph7,id,section
5,7,6,8,8,7,6,1,L02
6,2,7,7,8,5,7,2,L02
5,2,6,7,5,4,10,4,L02
4,1,3,3,4,8,5,5,L02
4,1,4,3,5,5,5,6,L02
2,4,5,5,4,6,3,7,L02
7,2,3,8,9,4,10,8,L02
4,4,5,6,8,8,7,9,L02
5,1,2,3,8,7,8,10,L02
3,3,7,7,7,8,8,11,L02
4,2,4,6,5,8,4,12,L02
6,1,6,1,5,5,8,13,L02
1,1,3,7,9,9,8,14,L02
3,2,4,6,7,8,10,15,L02
2,4,5,7,2,9,8,16,L02
2,7,5,6,9,3,5,17,L02
1,3,2,9,9,8,7,18,L02
5,1,6,1,6,6,10,19,L02
3,2,5,7,7,8,10,20,L02
3,1,5,6,7,8,7,21,L02
5,1,4,7,3,8,10,22,L02
3,1,2,7,8,7,4,23,L02
7,1,6,3,5,6,9,24,L02
2,1,4,5,5,6,8,25,L02
1,2,3,6,4,6,7,26,L02
5,3,7,5,6,7,8,27,L02
4,5,5,6,7,7,6,28,L02
4,3,5,3,8,3,9,29,L02
6,1,2,3,1,7,10,30,L02
1,1,6,5,3,5,8,31,L02
1,2,2,1,1,4,4,32,L02
6.5,3.5,7,7,8,8,6.5,33,L02
2,1,2,8,2.5,7,9,34,L02
4,1,2,8,2,7,9,35,L02
8,1,5,5,3,6,8,36,L02
7,2,6,8,9,9,5,37,L02
4,2,6,8,7,7,8,38,L02
4,6,10,2,9,8,7,39,L02
1,1,3,5,5,5,8,40,L02
3,1,5,6,7,8,6,41,L02
6,2,7,7,8,2,8,42,L02
2,1,8,9,3,7,10,43,L02
4,2,3,6,7,6,6,44,L02
4,8,4,5,1,7,6,45,L02
5,1,7,10,8,10,10,46,L02
1,7,6,5,8,6,8,47,L02
4,3,4,6,7,6,5,48,L02
6,3,5,1,8,9,9,49,L02
2,2,4,5,3,6,8,50,L02
6.5,3,8,7.5,9,7,6,51,L02
3,1,3,5,6,3,9,52,L02
4,1,5,6,4,4,8,53,L02
1,2,3,8,8,6,7,54,L02
6,7,4,7,8,1,9,55,L02
3,1,5,8,3,9,9,56,L02
7,3,6,5,7,9,8,57,L02
2,7,5,3,6,7,8,58,L02
2,4,5,3,1,7,6,59,L02
7,2,7,6,5,8,8,60,L02
8,4,5,4,5,7,9,61,L02
5,1,3,7,9,6,8,62,L02
5,1,7,7,8,7,6,63,L02
3,8,5,1,6,4,8,64,L02
2,8,5,1,6,3,9,65,L02
6,3,7,4,8,7,8,66,L02
3,1,1,9,10,8,7,67,L02
5,3,7,10,7,5,10,68,L02
3,1,4,7,10,5,8,69,L02
6,1,4,2,8,9,8,70,L02
3,2,2,8,3,6,7,71,L02
1,7,5,5,9,9,7,72,L02
7,8,8,9,10,10,10,73,L02
3,3.5,5,6.5,5.5,6,8,74,L01
7,3,8,5,8,7,5,75,L01
3,7,5,8,8,4,7,76,L01
7,7,10,1,5,6.7,8,77,L01
3,5,5,8,6,6,4,78,L01
5,2,8,1,9,6,9,79,L01
2,2,2,2,4,3,4,80,L01
4,2,5,1,7,7,10,81,L01
5,6,5,8,6,7,9,82,L01
2,2,4,10,5,6,8,83,L01
5,2,3,8,3,9,2,84,L01
0,0,0,0,5,1,8,85,L01
5,3,6,6,8,5,6,86,L01
3,5,8,7,8,7,8,87,L01
4,3,6,5,5,4,7,88,L01
3,2,5,6,4,8,9,89,L01
4,2,4,8,3,6,6,90,L01
1,4,4,3,6,8,7,91,L01
8,4,2,1,9.5,9,6,92,L01
3,2,6,5,7,3,9,93,L01
5,4,1,2,7,3,6,94,L01
2,1,3,2,7,5,6,95,L01
4,2,5,2,8,7,9,96,L01
3,2,2,4,8,5,7,97,L01
4,3,6,5,6,4,7,98,L01
2,1,3,3,4,5,6,99,L01
3,3,2,4,6,6,4,100,L01
6,7,5,3,4,2,1,101,L01
6.2,7.5,7.2,1.3,6.8,4.2,7.6,102,L01
3,2,3,2,5,5,4,103,L01
10,1,4,8,2,6,1,104,L01
6,4,5,2,7,6,7,105,L01
3,1,4,3,9,9,7,106,L01
3,6,5,7,9,5,8,107,L01
4,3,5,4,6,7,7,108,L01
9,3,8,3,6,3,8,109,L01
5,10,5,4,4,4,6,110,L01
5,6.5,9,1,8,4,5,111,L01
3,1,7,2,9,7,9,112,L01
1,7,3,7,8,3,8,113,L01
2,2,5,6,8,8,7,114,L01
7,5,5,2,6,6,7,115,L01
4,6,5,9,8,4,9,116,L01
5,3,3,4,7,5,6,117,L01
7,0,6,8,10,10,7,118,L01
3,1,2,5,7,8,9,119,L01
6,2,3,5,8,8,4,120,L01
7,5,6,9,7,4,8,121,L01
8,2,4,7,8,6,9,122,L01
5,7,6,4,5,7,7,123,L01
5,1,3,10,8,9,1,124,L01
4,4,6,4,8,8,6,125,L01
3,2,2,1,4,5,6,126,L01
4,2,4,6,9,6,10,127,L01
6,3,2,7,7,4,9,128,L01
3,2,10,8,8,8,7,129,L01
4,3,7,8,2,7,3,130,L01
7,3,4,5,8,6,7,131,L01
3,1,2,4,7,8,9,132,L01
1,3,5,7,8,7,6,133,L01
7,1,8,7,6,4,8,134,L01
2,1,5,6,7,6,9,135,L01
7,6,5,2,8,4,9,136,L01
2,0,3,0,6,5,7,137,L01
7,1,5,3,8,9,10,138,L01
2,5,3,7,9,4,5,139,L01
2,1,2,1,4,5,8,140,L01
9,5,9,10,8,5,9,141,L01
5,1,3,9,3,9,0,142,L01
4,1,10,8,10,8,10,143,L01
1,1,1,10,1,7,8,144,L01
4,3,5,4,6,8,8,145,L01
6,3,8,4,8,8,5,146,L01
2,1,3,2,4,2,5,147,L01
3,3,3,8,8,5,9,148,L01
4,1,3,10,6,9,2,149,L01
2,2,5,6,8,6,7,150,L01
2,5,4,6,3,1,7,151,L01
3,1,5,10,9,6,4,152,L01
2,2,5,2,7,7,6,153,L01
3,7,4,8,7,4,4,154,L01
