animal_id,CLO_1A,CLO_2A,CLO_3A,CLO_4A,CLO_1B,CLO_2B,CLO_3B,CLO_4B,precept_short,precept_long,project_short,project_long,environment_lecture,environment_precept,environment_group,assignment_precept,assignment_project,assignment_coloring,assignment_exam
antifeministic_furseal,2,1,5,1,7,7,7,7,120,240,1,3,7,7,7,5,1,1,7
arctophilic_killdeer,1,1,1,2,7,7,6,5,15,80,4,10,6,7,6,7,7,5,5
bared_mollies,2,5,4,7,3,5,4,2,20,90,2,3,2,7,4,7,5,1,4
beamlike_shihtzu,1,1,3,2,5,6,6,5,90,200,2,5,5,3,1,7,7,3,7
bicolor_boaconstrictor,3,5,4,6,6,6,6,5,20,120,2,4,7,7,7,7,6,3,7
binding_zorilla,2,1,2,2,5,6,6,6,45,90,1.5,2.5,5,4,7,5,4,3,5
bioecological_mammal,1,1,1,1,6,6,6,7,60,180,3,4,7,7,7,6,6,3,4
brittle_northernhairynosedwombat,2,2,4,4,5,4,5,4,45,170,2,5,6,5,3,7,6,2,6
caloried_pug,4,2,2,5,6,7,7,5,40,200,3,5,5,3,6,6,4,2,5
catty_flicker,4,6,4,3,5,6,5,4,40,90,1.5,2,5,7,6,6,5,4,4
chantable_rhea,2,1,2,2,7,7,7,6,60,240,3,10,7,7,7,7,7,4,6
chondrite_peacock,5,5,5,5,7,7,7,7,20,60,2,4,7,7,7,7,7,1,5
commentative_auk,2,1,2,4,6,7,7,7,70,150,2.5,3,7,7,7,7,7,6,7
commonplace_hippopotamus,4,4,5,2,5,6,5,6,50,80,2,4,4,6,3,6,5,6,2
complete_cero,1,1,1,1,3,2,2,2,30,120,4,6,7,4,5,6,5,3,3
conchiolin_allosaurus,5,4,4,5,5,5,5,5,1,1.5,3,5,5,5,5,6,6,6,6
confusional_angelwingmussel,2,2,3,4,5,6,6,6,45,90,2,4,6,7,4,7,6,5,6
contrived_hypacrosaurus,3,2,1,4,4,4,3,6,120,300,2,6.666666666666667,5,4,7,6,5,5,4
convulsant_guppy,2,2,1,3,5,5,4,4,40,150,6,12,6,7,3,6,3,2,4
cowlike_bustard,3,3,3,3,6,6,6,7,3,5,5,5,7,5,1,5,5,7,2
curative_indianringneckparakeet,2,3,2,2,5,6,6,6,30,360,7,12,4,4,5,6,6,3,7
cussed_zorilla,2,1,2,1,5,6,5,7,35,100,2,5,6,6,7,7,6,4,3
cycadaceous_vervet,2,4,2,2,6,7,6,6,60,150,4,6,7,7,7,7,7,5,5
cystic_ninebandedarmadillo,1,2,1,2,6,6,6,7,35,90,2,5,7,7,7,7,5,7,7
daydreaming_emperorshrimp,2,1,2,4,5,6,6,5,30,120,3,5,5,5,6,6,5,2,5
defamatory_neonredguppy,3,2,1,3,5,5,5,6,30,90,2,4,7,7,7,7,7,5,7
defiable_pony,5,4,4,5,5,5,5,5,60,150,3,8,4,5,1,7,7,1,6
demographical_daddylonglegs,1,2,5,7,3,5,2,7,60,120,5,8,3,3,6,7,6,1,3
dendrachate_huemul,3,3,3,2,6,6,5,6,30,90,1,3,5,5,6,6,4,4,5
dependent_africanfisheagle,4,5,4,7,6,6,5,7,60,90,1.3333333333333333,2,6,5,7,6,7,6,6
deposable_ibisbill,3,3,2,5,5,6,5,5,20,70,0.5,1.5,7,7,7,6,5,2,6
desertic_westafricanantelope,2,2,1,5,5,6,6,5,20,40,1.5,3,7,7,5,7,7,1,5
diabolic_aplomadofalcon,2,5,5,5,5,3,4,6,20,120,3,6,3,3,5,4,4,3,2
discourteous_piglet,3,2,2,2,3,3,3,3,45,100,2,4,7,7,7,7,6,2,7
disgraceful_koodoo,2,4,4,5,5,5,4,5,40,90,1,5,3,7,6,6,4,3,6
domestic_lion,1,3,3,2,4,4,5,5,70,180,1,2,7,7,7,7,7,1,5
dreary_anura,3,5,4,2,7,6,6,5,70,300,4,7,7,7,7,7,7,7,7
ebony_waterboatman,3,6,5,5,5,6,6,6,20,75,3,10,6,6,7,7,7,5,5
endowed_doe,4,4,4,4,6,6,6,3,30,80,1.5,4,7,7,5,6,6,3,5
endowed_sponge,3,5,4,5,5,6,5,6,120,360,10,0.5,5,6,5,6,5,4,5
entitled_bedlingtonterrier,4,1,3,4,5,6,6,4,15,80,2,5,5,6,6,6,5,2,5
entomologic_yellowwhitebutterfly,4,4,3,4,5,7,6,4,25,80,4,8,5,3,6,6,4,1,2
epidermoid_hapuka,4,2,3,2,6,6,5,5,45,80,5,9,7,7,4,7,4,4,4
fattening_mantid,4,5,4,2,6,6,5,5,30,65,4,6,7,7,3,7,5,4,6
feedable_skylark,1,1,1,1,5,5,5,5,30,70,2.5,5,7,7,7,7,7,7,7
finespun_springpeeper,2,1,2,3,5,6,6,7,120,240,2.3333333333333335,3.3333333333333335,7,7,6,7,4,3,4
firm_tuna,3,6,5,7,6,5,4,7,20,100,0.5,3.3333333333333335,7,7,7,5,4,2,7
florid_queenalexandrasbirdwingbutterfly,3,2,3,3,4,4,3,3,60,320,5.333333333333333,10.666666666666666,4,3,5,5,4,3,2
fortified_dowitcher,3,1,2,4,6,5,6,4,45,120,3,5,5,7,5,7,7,1,4
gentlemanly_basil,1,1,2,2,6,5,5,2,35,120,3,5,5,5,7,7,4,1,5
grabbable_yellowwhitebutterfly,3,3,2,2,5,5,4,4,40,90,1,3.5,4,5,7,5,4,3,5
grapy_pike,3,5,4,4,6,7,5,7,30,120,3,4.333333333333333,3,5,6,6,6,4,6
halfawake_bangeltiger,3,3,4,5,6,6,5,5,60,180,2,4,7,7,7,7,7,5,7
halfpetrified_stud,5,6,5,6,6,7,6,6,45,90,1.5,3,7,7,7,7,5,4,6
handsome_bandicoot,3,1,4,6,5,4,6,6,40,100,1,2,7,5,7,5,4,6,6
heartaching_islandwhistler,4,5,2,2,5,6,5,5,300,600,10,15,7,6,5,5,5,5,5
hyperscholastic_ragfish,4,4,3,3,5,5,5,5,30,65,1,3,7,7,7,7,6,2,7
illtempered_hadrosaurus,1,1,1,1,4,4,4,5,40,60,2.3333333333333335,3.3333333333333335,1,7,3,1,7,1,1
influenzalike_islandcanary,5,5,5,4,4,2,5,2,30,180,2,3,5,4,4,4,3,2,3
insentient_seahorse,3,4,5,6,5,6,7,6,30,180,0.1,1,3,4,6,5,5,2,2
keraunophobic_tapir,3,4,2,3,3,5,4,5,25,79,2,6,6,6,4,6,5,4,4
labyrinthine_dogwoodclubgall,3,2,3,3,5,5,5,6,10,180,5,10,7,5,7,7,7,5,6
lace_anura,2,4,3,4,6,6,4,4,20,60,4,16,6,6,7,7,6,1,3
leafed_piranha,6,6,5,6,6,6,6,7,30,180,6,12,3,3,7,7,4,7,5
leafed_piranha,5,6,7,7,6,6,6,7,30,180,6,12,3,3,7,7,4,7,5
leafy_xuanhuasaurus,4,5,5,5,6,6,5,7,45,240,4,8,5,5,7,7,7,3,6
limitless_americanwarmblood,4,6,3,2,6,5,5,6,5,45,1,1,4,4,4,5,4,1,2
lionly_noddy,4,5,4,6,5,5,6,6,30,100,1,3,4,6,6,6,6,1,6
longish_alaskanhusky,4,3,3,3,5,6,5,5,20,100,1,2,7,6,6,6,6,4,6
major_bufeo,3,3,3,4,6,7,6,6,45,90,0.5,0.8333333333333334,6,6,6,6,6,5,5
miniature_cuckoo,4,4,6,7,6,6,6,7,30,150,4,7,7,7,7,7,7,1,7
naggy_dolphin,2,4,1,5,5,6,6,6,25,180,1,0.9333333333333333,6,6,6,6,6,4,4
nondeadly_africanclawedfrog,5,5,5,5,6,7,5,5,45,120,2,4,7,7,7,7,7,2,7
nonzoologic_cougar,5,4,6,5,5,6,6,6,65,90,1,1.6666666666666667,5,4,7,6,7,3,6
offcolour_yucker,1,2,1,1,4,4,4,2,60,140,2,4,4,6,3,6,4,2,4
offcolour_yucker,1,2,1,1,4,4,4,2,60,140,2,4,4,6,3,6,4,2,4
overpolitical_snail,3,2,5,3,7,5,6,5,10,100,2,4,3,6,7,4,6,1,3
perfect_labradorretriever,3,3,3,4,6,5,5,6,60,180,3,5,6,7,7,7,5,6,7
phobic_metalmarkbutterfly,4,2,3,3,5,5,5,4,30,120,3,5,5,5,6,6,5,2,7
phosphorus_americanbulldog,5,4,4,5,6,6,6,5,150,240,4,6,5,4,4,5,5,2,3
pigish_alaskankleekai,2,2,3,4,4,5,5,5,5,120,1,4,5,4,5,6,6,4,5
plutonium_widgeon,4,4,4,6,5,6,6,7,20,90,1,4,6,6,6,6,6,3,6
predominant_aegeancat,1,1,3,2,3,3,3,2,60,200,4,6,5,5,3,6,4,3,1
premedical_billygoat,3,3,2,2,5,5,5,5,30,120,2.5,5.5,7,5,6,7,5,3,2
proselytistic_gypsymoth,5,3,3,3,6,5,5,5,50,180,4,12,6,5,5,6,6,4,4
pseudoanaemic_gypsymoth,3,2,4,5,4,4,5,6,55,150,2,4.166666666666667,2,1,6,6,2,7,6
pseudoroyal_illadopsis,3,3,4,6,5,5,5,6,90,360,4,12,4,4,5,7,6,1,2
pseudoroyal_illadopsis,3,2,3,3,5,5,5,6,90,360,4,12,4,4,5,7,6,1,2
psychedelic_lion,3,3,3,3,5,7,5,6,30,120,1,2,6,4,1,7,7,7,5
puritanical_flyinglemur,3,3,3,3,6,6,6,6,180,900,10,15,7,7,7,7,7,7,7
quasiconstant_kusimanse,3,7,3,2,5,6,2,4,40,90,2,4,5,6,3,7,6,1,5
quasiconstant_kusimanse,3,7,3,2,5,6,2,4,40,90,2,4,5,6,3,7,6,1,5
quasiroyal_scorpion,3,6,4,3,6,6,6,5,50,90,6,9,7,6,6,6,6,3,5
regardable_zebra,1,1,1,1,4,4,4,5,60,150,4,6,7,7,7,7,7,6,7
semicrystalline_possum,3,2,4,3,6,6,5,6,20,90,1,1.5,5,5,6,7,6,4,6
silty_bluegill,4,5,5,4,5,6,6,5,45,80,8,10,6,5,4,5,6,2,7
sirenic_galapagossealion,1,1,2,2,5,5,5,4,50,180,6.5,10,6,5,1,7,7,6,7
springy_southernhairnosedwombat,5,4,5,3,5,6,5,4,60,360,3,4.5,3,4,5,6,7,2,4
stalagmitic_walrus,1,2,2,1,5,7,5,3,10,50,1,2,7,7,7,7,4,1,5
stalwart_germanspaniel,4,5,4,3,6,6,6,5,30,90,6,8,5,6,5,6,6,1,6
stealthy_stickinsect,2,3,1,1,5,5,4,4,30,240,2,6,5,4,7,7,5,2,2
subdued_dingo,3,1,4,3,5,5,5,6,45,270,2,6,3,5,5,5,5,5,5
subpyramidical_sheldrake,2,4,3,3,5,5,6,4,60,120,2,3,6,6,5,6,2,1,5
subpyriform_bubblefish,1,1,1,1,2,2,2,4,70,100,2,5,6,6,7,7,7,4,4
supplementary_noctilio,2,3,2,3,6,6,6,6,30,90,2,3.3333333333333335,6,5,7,6,6,4,4
surgical_asiandamselfly,4,2,5,1,5,6,5,5,30,90,3,6,6,7,5,6,7,4,5
tapestried_ibizanhound,3,3,3,4,6,5,4,6,30,200,2,5,7,7,7,7,5,3,3
terrorstricken_coney,1,2,3,5,5,6,5,7,60,180,3.5,5,6,4,3,7,5,5,6
thorough_vervet,3,3,4,4,6,7,6,6,15,60,7,12,6,6,6,7,5,5,5
threadbare_ynambu,3,4,5,4,5,6,5,6,45,120,0.8333333333333334,1,5,7,4,6,3,2,5
trachyte_oxpecker,5,6,6,6,5,6,6,6,30,90,0.75,1,7,7,7,7,6,2,6
transhuman_oropendula,2,2,2,3,6,5,4,5,20,80,0.6666666666666666,1.6666666666666667,5,6,3,7,5,3,4
trigonometric_malamute,7,3,3,5,4,5,4,4,120,360,4,6,6,5,7,5,6,4,6
ubiquitary_guppy,3,2,1,4,7,4,6,5,20,120,1,4,5,6,7,6,6,3,4
ultrasonic_cutworm,2,1,1,1,4,6,5,7,60,180,2,3,6,7,7,7,7,5,3
unamiable_bactrian,3,2,2,3,6,4,3,6,60,180,5,11,4,6,4,6,5,5,4
unconfident_tenrec,1,1,2,1,4,5,3,3,120,180,4,6,3,5,4,5,5,2,2
uncontradictable_gangesdolphin,1,2,2,2,5,6,5,3,25,150,3,5,6,7,6,7,6,3,6
undespondent_peregrinefalcon,1,1,1,1,3,3,3,3,240,360,7,8,6,6,7,6,6,3,6
undespondent_peregrinefalcon,1,1,1,1,1,1,1,1,200,300,4.166666666666667,6,6,6,7,4,3,1,5
unexplainable_tortoise,5,1,4,5,6,6,5,6,120,240,6,4,7,4,7,7,6,3,3
unilateralised_platypus,4,5,4,3,5,6,4,6,30,60,1,2,5,5,6,6,6,4,5
unnationalised_orca,4,5,4,3,5,5,5,5,60,150,2,5,6,6,5,6,5,3,5
velvety_frilledlizard,4,5,4,6,6,7,6,5,15,180,7,14,6,6,1,3,7,1,2
vinicultural_indusriverdolphin,1,2,1,1,3,5,3,6,50,120,4,7,5,5,4,4,4,5,5
wanted_ostracod,4,2,4,2,6,6,6,3,50,90,6,11,6,6,6,6,4,3,5
wellblacked_mantaray,5,1,2,4,6,3,6,5,30,180,2,5,7,7,5,6,6,3,6
wellblacked_mantaray,6,1,3,6,6,3,6,5,30,180,2,5,7,7,5,6,6,3,6
zinnwaldite_ape,4,4,4,5,6,6,6,4,20,110,0.6666666666666666,2.1666666666666665,7,7,6,6,6,1,5
zoographic_basilisk,4,3,5,2,7,6,6,5,15,120,2,8,7,7,6,7,7,2,7
